"","Row.names","UC_START","UC_END","TYPE","ENSEMBL_GENE_ID","CHR","GENE_STRAND","GENE_START","GENE_END","logFC","AveExpr","t","P.Value","adj.P.Val","Mean_P","Mean_N"
"30","uc.385-"," 36893470"," 36893677","p","ENSG00000134138","15","-"," 36889204"," 37101299","0.6399107"," 9.249005","2.564851","1.084536e-02","2.028082e-02",8.88779906205033,9.52770974198071
"31","uc.388+"," 57133328"," 57133624","n","ENSG00000140262","15","+"," 56918623"," 57299281","0.4793269","12.164171","2.498121","1.258951e-02","2.285669e-02",11.9090505140213,12.3883773876162
"32","uc.408-"," 72787147"," 72787397","e","ENSG00000259768","16","+"," 72665170"," 72791624","0.9577577","10.691238","3.705139","3.268867e-04","8.489973e-04",10.1383040547171,11.096061708392
"33","uc.423-"," 25176392"," 25176613","n","ENSG00000198795","18","-"," 25061926"," 25352190","0.6825424"," 9.266110","2.516092","1.246049e-02","2.284423e-02",8.79486663820657,9.47740908271925
"34","uc.424-"," 25187816"," 25188029","p","ENSG00000198795","18","-"," 25061926"," 25352190","0.6882745"," 9.279606","2.390013","1.742651e-02","3.009344e-02",8.81691424055439,9.50518873623684
"35","uc.426+"," 26335629"," 26335889","p","ENSG00000141384","18","+"," 26225936"," 26391685","0.7655361","11.603860","2.530368","1.211010e-02","2.242167e-02",11.216655975797,11.9821920833168
"36","uc.429+"," 36900579"," 36900815","n","ENSG00000150477","18","+"," 36829106"," 37232172","0.6548711","10.733687","2.703840","7.379220e-03","1.437410e-02",10.3982100913226,11.0530811995171
"37","uc.43-","243732734","243732989","n","ENSG00000232184","1","-","243702857","243740821","1.4958697","10.722072","4.311902","3.834409e-05","1.215313e-04",9.92191545151285,11.4177851502607
"38","uc.439+"," 74651076"," 74651337","n","ENSG00000215421","18","+"," 74597870"," 75065671","0.7940253","12.293195","4.315399","3.484156e-05","1.123340e-04",11.9247853132496,12.7188106173315
"39","uc.440+"," 74651410"," 74651737","n","ENSG00000215421","18","+"," 74597870"," 75065671","0.7910637","12.689540","4.834927","4.577968e-06","1.990884e-05",12.2879160891175,13.0789797406604
"40","uc.441+"," 74856637"," 74856883","p","ENSG00000215421","18","+"," 74597870"," 75065671","0.6135520","10.658966","2.487031","1.333769e-02","2.379338e-02",10.3461172004902,10.9596692296571
"41","uc.460+"," 24805395"," 24805668","p","ENSG00000101868","X","+"," 24693919"," 24996986","0.8173233","11.856850","3.938621","1.405920e-04","3.923985e-04",11.4732907018774,12.2906140075017
"42","uc.461+"," 24846681"," 24847076","n","ENSG00000101868","X","+"," 24693919"," 24996986","0.6133578","12.504332","3.229694","1.498233e-03","3.546450e-03",12.2721264376178,12.8854842557562
"43","uc.462+"," 24876710"," 24877487","p","ENSG00000101868","X","+"," 24693919"," 24996986","0.5808390","10.986967","2.195718","2.813970e-02","4.497542e-02",10.6596112075424,11.2404502008396
"44","uc.464+"," 24898042"," 24898810","n","ENSG00000101868","X","+"," 24693919"," 24996986","0.9095553","11.610125","4.183382","5.838895e-05","1.761086e-04",11.0833465112568,11.992901831777
"45","uc.483-"," 17551238"," 17551638","p","ENSG00000131374","3","-"," 17157162"," 18444817","0.6231422","12.676951","3.162055","1.860555e-03","4.191852e-03",12.4277899353242,13.0509321613177
"46","uc.64+"," 62966957"," 62967200","p","ENSG00000115504","2","+"," 62673851"," 63046487","0.6271011","10.736113","2.220888","2.660895e-02","4.289546e-02",10.3350402399181,10.9621413811938
"47","uc.69+","143354542","143354841","n","ENSG00000228655","2","-","143295421","143480789","1.2897421","12.890110","5.494399","3.254487e-07","1.601550e-06",12.2773711320011,13.5671132214389
"48","uc.70+","143679771","143680006","p","ENSG00000257277","2","-","143676165","143741294","0.7184239","11.089924","2.888047","4.370582e-03","9.081099e-03",10.80464947661,11.5230733462915
"49","uc.76-","144403567","144403900","n","ENSG00000169554","2","-","144364364","144524583","1.2782678","11.694721","4.429770","2.411876e-05","8.509826e-05",11.0496161968924,12.3278839542518
"50","uc.78-","144430788","144431034","n","ENSG00000169554","2","-","144364364","144524583","0.5320677","12.265547","2.480755","1.335992e-02","2.379338e-02",12.1124124779543,12.6444801496834
"51","uc.79-","144439611","144439904","p","ENSG00000169554","2","-","144364364","144524583","2.2188992","11.981420","8.951936","4.698234e-14","7.321414e-13",10.8559363067892,13.0748354599054
"52","uc.80-","144443286","144443578","n","ENSG00000169554","2","-","144364364","144524583","2.4491205","11.616532","8.238314","1.390324e-12","1.299953e-11",10.3456279463859,12.7947484800616
"53","uc.84-","156338195","156338402","p","ENSG00000153234","2","-","156324432","156342348","0.8705658","10.068844","3.065097","2.615231e-03","5.696994e-03",9.59283788517176,10.4634037141612
"54","uc.89+","161382163","161382468","p","ENSG00000115233","2","+","161308038","161411717","0.6767049","12.533484","4.010743","1.050901e-04","3.070602e-04",12.2802395918209,12.9569445047595
