"","UC_START","UC_END","TYPE","ENSEMBL_GENE_ID","CHR","GENE_STRAND","GENE_START","GENE_END","logFC","AveExpr","t","P.Value","adj.P.Val"
"uc.84-","156338195","156338402","p","ENSG00000153234","2","-","156324432","156342348","1.1409703","10.070756","3.532238","6.016178e-04","2.011920e-03"
"uc.134+","158528116","158528325","p","ENSG00000174891","3","+","158105855","158545730","0.8488613","11.010479","3.520076","6.069480e-04","2.011920e-03"
"uc.483-"," 17551238"," 17551638","p","ENSG00000131374","3","-"," 17157162"," 18444817","0.7401804","12.678862","3.259930","1.398610e-03","4.308005e-03"
"uc.281-","132620139","132620375","p","ENSG00000125485","9","-","132592997","132670401","0.7735525","11.866586","3.127482","2.134894e-03","6.065811e-03"
"uc.257+"," 37215208"," 37215470","n","ENSG00000147905","9","+"," 37120539"," 37358149","0.6463463","14.102783","3.113390","2.182287e-03","6.103583e-03"
"uc.274+","125759593","125759918","p","ENSG00000167081","9","+","125747345","125967377","0.7629197","12.544111","3.074152","2.513894e-03","6.922878e-03"
"uc.277+","125845432","125845706","p","ENSG00000167081","9","+","125747345","125967377","0.6981153","12.116998","2.987820","3.238446e-03","8.524733e-03"
"uc.89+","161382163","161382468","p","ENSG00000115233","2","+","161308038","161411717","0.5836079","12.535395","2.945068","3.602876e-03","9.346592e-03"
"uc.276+","125843534","125843964","p","ENSG00000167081","9","+","125747345","125967377","0.6494886","12.561248","2.926398","3.862054e-03","9.875823e-03"
"uc.269-","123775659","123775874","n","ENSG00000119522","9","-","123379654","123930152","0.8493856","10.878870","2.923924","4.003350e-03","1.009295e-02"
"uc.441+"," 74856637"," 74856883","p","ENSG00000215421","18","+"," 74597870"," 75065671","0.7764354","10.660877","2.872136","4.625365e-03","1.149917e-02"
"uc.278+","125883887","125884122","p","ENSG00000167081","9","+","125747345","125967377","0.6536896","11.564970","2.836144","5.047004e-03","1.237553e-02"
"uc.384+"," 36673193"," 36673457","p","ENSG00000186073","15","+"," 36579611"," 36810248","0.8355833","10.024226","2.798348","5.774726e-03","1.378235e-02"
"uc.438+"," 74645919"," 74646158","n","ENSG00000215421","18","+"," 74597870"," 75065671","0.6078836","11.925859","2.780343","5.886508e-03","1.386428e-02"
"uc.460+"," 24805395"," 24805668","p","ENSG00000101868","X","+"," 24693919"," 24996986","0.6610383","11.858761","2.770892","6.107245e-03","1.419736e-02"
"uc.273+","125755320","125755639","p","ENSG00000167081","9","+","125747345","125967377","0.6904366","12.662768","2.745769","6.594376e-03","1.494169e-02"
"uc.70+","143679771","143680006","p","ENSG00000257277","2","-","143676165","143741294","0.7721495","11.091835","2.724371","7.086203e-03","1.585538e-02"
"uc.435-"," 55422701"," 55422926","n","ENSG00000196628","18","-"," 55222331"," 55664787","0.9298768","11.252028","2.607238","9.981384e-03","2.178863e-02"
"uc.307+","101484227","101484457","p","ENSG00000166167","10","+","101354033","101557321","0.5135555","12.298838","2.509340","1.232962e-02","2.596474e-02"
"uc.132+","158308371","158308577","n","ENSG00000174891","3","+","158105855","158545730","0.6441518","10.643022","2.488045","1.337892e-02","2.784682e-02"
"uc.131+","158272252","158272457","n","ENSG00000174891","3","+","158105855","158545730","0.5221461","11.548854","2.467022","1.384633e-02","2.807307e-02"
"uc.408-"," 72787147"," 72787397","e","ENSG00000259768","16","+"," 72665170"," 72791624","0.7267989","10.693149","2.476263","1.395812e-02","2.807307e-02"
"uc.466+"," 24928342"," 24928689","n","ENSG00000101868","X","+"," 24693919"," 24996986","0.6103363","10.452974","2.449684","1.474449e-02","2.932516e-02"
"uc.326+"," 31764133"," 31764446","p","ENSG00000109911","11","+"," 31509700"," 31790328","0.5675990","11.431507","2.278736","2.282471e-02","4.440895e-02"
"uc.423-"," 25176392"," 25176613","n","ENSG00000198795","18","-"," 25061926"," 25352190","0.7627111"," 9.268021","2.283248","2.312239e-02","4.450438e-02"
"uc.388+"," 57133328"," 57133624","n","ENSG00000140262","15","+"," 56918623"," 57299281","0.5046086","12.166082","2.258510","2.374553e-02","4.521754e-02"
"uc.24-"," 50633474"," 50633808","n","ENSG00000185104","1","-"," 50437028"," 50960263","0.4010954","12.761267","2.242861","2.405853e-02","4.533133e-02"
"uc.424-"," 25187816"," 25188029","p","ENSG00000198795","18","-"," 25061926"," 25352190","0.7930770"," 9.281517","2.230206","2.647640e-02","4.936745e-02"
