"","UC_START","UC_END","TYPE","ENSEMBL_GENE_ID","CHR","GENE_STRAND","GENE_START","GENE_END","logFC","AveExpr","t","P.Value","adj.P.Val"
"uc.419+"," 58005355"," 58005642","e","ENSG00000136450","17","-"," 58003360"," 58007346","-2.0554843"," 9.203811"," -6.686526","1.768500e-09","1.945350e-08"
"uc.413+"," 39410267"," 39410537","e","ENSG00000125686","17","-"," 39404285"," 39451286","-1.7591154"," 8.516216"," -6.565525","2.999452e-09","2.952092e-08"
"uc.2-"," 10672487"," 10672692","n","ENSG00000130940","1","-"," 10636604"," 10796650","-1.8541143"," 8.814372"," -6.521124","3.693446e-09","3.453372e-08"
"uc.212-"," 27102320"," 27102523","p","ENSG00000105996","7","-"," 27100354"," 27102811","-2.0661865"," 8.732572"," -6.475761","4.595950e-09","3.956238e-08"
"uc.88-","161238532","161238842","n","ENSG00000235724","2","-","161222785","161308303","-2.0719788"," 8.944346"," -6.473033","4.654397e-09","3.956238e-08"
"uc.144+"," 82425513"," 82425716","e","ENSG00000152795","4","-"," 82422564"," 82430408","-1.7157016"," 8.447305"," -6.450181","5.032349e-09","4.091519e-08"
"uc.407-"," 69647253"," 69647577","e","ENSG00000102908","16","+"," 69565094"," 69704666","-1.8546670"," 8.532323"," -6.439136","5.345959e-09","4.165393e-08"
"uc.418+"," 58004868"," 58005083","e","ENSG00000266086","17","-"," 57989038"," 58005253","-2.3261689","10.687734"," -6.421307","5.953055e-09","4.452885e-08"
"uc.268+","122844550","122844799","p","ENSG00000056586","9","-","122844556","122905341","-1.7636551"," 8.550039"," -6.404773","6.197060e-09","4.457116e-08"
"uc.88+","161238532","161238842","n","ENSG00000235724","2","-","161222785","161308303","-2.0327076"," 8.889995"," -6.363081","7.611122e-09","5.271407e-08"
"uc.209+"," 23522270"," 23522518","e","ENSG00000164548","7","-"," 23504780"," 23532041","-1.7684894"," 8.560548"," -6.349656","7.939341e-09","5.302346e-08"
"uc.174-","139307966","139308224","e","ENSG00000015479","5","+","139293648","139331677","-2.0245482"," 9.126684"," -6.024292","3.425683e-08","2.135342e-07"
"uc.61+"," 60460439"," 60460763","e","ENSG00000119866","2","-"," 60451167"," 60553567","-1.6744350"," 8.640312"," -5.852194","7.109612e-08","4.154679e-07"
"uc.435+"," 55422701"," 55422926","n","ENSG00000196628","18","-"," 55222331"," 55664787","-1.4726121"," 8.698542"," -5.283669","7.923067e-07","4.233182e-06"
"uc.77+","144428199","144428493","e","ENSG00000169554","2","-","144364364","144524583","-1.5259321"," 8.930199"," -4.880449","4.158460e-06","1.993928e-05"
"uc.29+"," 87356701"," 87356918","n","ENSG00000227290","1","-"," 87353524"," 87371655","-1.7157487"," 9.203634"," -4.751337","7.050249e-06","3.295991e-05"
"uc.36+","108697807","108698069","p","ENSG00000134186","1","+","108692323","108701803","-0.8322656","14.617244"," -4.530707","1.523544e-05","6.625644e-05"
"uc.208+"," 23522052"," 23522268","e","ENSG00000164548","7","-"," 23504780"," 23532041","-1.6259220"," 9.148591"," -4.515558","1.764243e-05","7.498034e-05"
"uc.339-"," 53677313"," 53677563","p","ENSG00000135390","12","-"," 53632726"," 53677408","-1.3049003"," 8.672182"," -4.416216","2.524600e-05","1.026305e-04"
"uc.49+"," 33588343"," 33588548","e","ENSG00000119812","2","-"," 33583658"," 33599382","-1.2770503"," 8.659465"," -4.381741","2.872116e-05","1.142736e-04"
"uc.393-"," 74621902"," 74622175","e","ENSG00000179335","15","+"," 74598500"," 74645414","-1.5299566"," 9.424408"," -4.278322","4.325679e-05","1.685213e-04"
"uc.111+","  9429778","  9430072","p","ENSG00000168137","3","+","  9397615","  9479240","-0.6943399","15.402170"," -4.095518","7.688282e-05","2.875417e-04"
"uc.213-"," 27143514"," 27143713","e","ENSG00000254369","7","+"," 27129977"," 27155928","-1.4445752","10.847073"," -4.023166","1.101655e-04","3.886971e-04"
"uc.382+"," 35626712"," 35626910","n","ENSG00000248079","15","+"," 35546195"," 35859001","-1.1730751"," 8.820857"," -3.886242","1.763612e-04","5.996281e-04"
"uc.473-"," 71153375"," 71153595","e","ENSG00000196338","X","+"," 71144831"," 71171201","-1.1804755"," 9.827046"," -3.721254","3.147455e-04","9.809569e-04"
"uc.100-","173250053","173250258","n","ENSG00000238133","2","-","173166446","173282036","-1.1499615"," 8.627843"," -3.694233","3.446265e-04","1.039438e-03"
"uc.102+","174081682","174082018","e","ENSG00000138430","2","-","174072447","174248698","-1.1166418"," 8.903667"," -3.670288","3.731011e-04","1.107459e-03"
"uc.212+"," 27102320"," 27102523","p","ENSG00000105996","7","-"," 27100354"," 27102811","-1.1367392"," 8.643701"," -3.518274","6.255543e-04","1.695343e-03"
"uc.428+"," 32773247"," 32773484","p","ENSG00000228835","18","+"," 32769795"," 32774413","-1.2735852","10.791148"," -3.394642","9.504526e-04","2.503305e-03"
"uc.175-","158914831","158915079","n","ENSG00000164330","5","-","158695916","159099761","-0.9510364","13.014852"," -3.233133","1.557379e-03","4.044860e-03"
"uc.178+","170990995","170991242","n","ENSG00000204764","5","+","170861870","171300015","-0.9294411"," 8.760419"," -3.126206","2.173924e-03","5.505887e-03"
"uc.122-","114893045","114893258","n","ENSG00000181722","3","-","114314501","115147271","-0.7514603","11.383994"," -3.118298","2.178800e-03","5.505887e-03"
"uc.97+","171966111","171966551","e","ENSG00000115840","2","-","171784370","171999859","-0.6879162","15.152988"," -3.091071","2.346132e-03","5.849690e-03"
"uc.169+"," 93585312"," 93585514","e","ENSG00000237187","5","-"," 93409359"," 93585648","-0.9463897"," 8.858329"," -2.980304","3.401819e-03","8.052408e-03"
"uc.167+"," 88883808"," 88884007","n","ENSG00000248309","5","+"," 88883328"," 89466398","-0.9389847","12.554909"," -2.962811","3.582859e-03","8.374932e-03"
"uc.109+","176638611","176638833","n","ENSG00000224577","2","+","176637710","176655958","-0.8114401"," 8.569364"," -2.915477","4.071317e-03","9.399213e-03"
"uc.190+"," 41555703"," 41555901","n","ENSG00000137166","6","+"," 41546426"," 41602384","-0.9502234","10.863735"," -2.858301","4.887767e-03","1.101220e-02"
"uc.367+"," 33375258"," 33375554","p","ENSG00000151322","14","+"," 32934933"," 33804176","-0.7824518"," 8.510962"," -2.802673","5.649352e-03","1.257653e-02"
"uc.177+","170990626","170990881","n","ENSG00000204764","5","+","170861870","171300015","-0.8005267"," 8.682607"," -2.741539","6.749388e-03","1.467600e-02"
"uc.268-","122844550","122844799","p","ENSG00000056586","9","-","122844556","122905341","-0.6709485","14.301214"," -2.680390","7.892440e-03","1.638966e-02"
"uc.119-","114714621","114714920","n","ENSG00000181722","3","-","114314501","115147271","-0.8204112","11.438963"," -2.683690","7.968460e-03","1.638966e-02"
"uc.165+"," 88397117"," 88397339","n","ENSG00000247828","5","+"," 88268895"," 88436685","-0.7208571"," 8.785652"," -2.639495","8.914030e-03","1.792391e-02"
"uc.66-"," 72947875"," 72948120","n","ENSG00000144040","2","-"," 72942036"," 73075619","-0.8628519"," 9.060734"," -2.546890","1.167503e-02","2.227786e-02"
"uc.251+"," 15874312"," 15874523","n","ENSG00000164989","9","+"," 15553086"," 16061663","-0.9225918"," 9.671320"," -2.524467","1.246479e-02","2.354461e-02"
"uc.100+","173250053","173250258","n","ENSG00000238133","2","-","173166446","173282036","-0.7257444"," 9.046890"," -2.446052","1.508992e-02","2.821816e-02"
"uc.442+"," 74880757"," 74881004","n","ENSG00000215421","18","+"," 74597870"," 75065671","-0.5532833","11.451378"," -2.375635","1.770820e-02","3.278648e-02"
"uc.239-"," 59029815"," 59030113","p","ENSG00000198846","8","-"," 58805418"," 59119208","-0.7915535","13.211040"," -2.253958","2.491122e-02","4.356573e-02"
"uc.72-","143957406","143957811","n","ENSG00000232377","2","+","143937073","143964156","-0.6485292","11.336657"," -2.247766","2.492799e-02","4.356573e-02"
"uc.258+"," 37324428"," 37324627","p","ENSG00000147905","9","+"," 37120539"," 37358149","-0.4681185","13.088300"," -2.191890","2.779695e-02","4.768835e-02"
