"","UC_START","UC_END","TYPE","ENSEMBL_GENE_ID","CHR","GENE_STRAND","GENE_START","GENE_END","logFC","AveExpr","t","P.Value","adj.P.Val"
"uc.15+"," 38095405"," 38095636","n","ENSG00000224592","1","+"," 38047314"," 38119025","-1.1267534"," 9.237745"," -3.320105","1.197934e-03","3.500213e-03"
"uc.240+"," 64579983"," 64580187","p","ENSG00000254102","8","-"," 64574306"," 64581888","-0.8843412"," 8.601234"," -3.278555","1.337314e-03","3.847350e-03"
"uc.212+"," 27102320"," 27102523","p","ENSG00000105996","7","-"," 27100354"," 27102811","-0.9727649"," 8.643701"," -3.181363","1.837857e-03","5.205252e-03"
"uc.213-"," 27143514"," 27143713","e","ENSG00000254369","7","+"," 27129977"," 27155928","-0.9776035","10.847073"," -2.987358","3.339672e-03","8.439441e-03"
"uc.339-"," 53677313"," 53677563","p","ENSG00000135390","12","-"," 53632726"," 53677408","-0.8372955"," 8.672182"," -2.930449","3.905658e-03","9.609973e-03"
"uc.362+"," 28879547"," 28879784","p","ENSG00000258038","14","+"," 28830244"," 28968400","-1.0595703"," 8.767443"," -2.836230","5.256838e-03","1.244340e-02"
"uc.382+"," 35626712"," 35626910","n","ENSG00000248079","15","+"," 35546195"," 35859001","-0.8091198"," 8.820857"," -2.788090","5.911121e-03","1.381725e-02"
"uc.102+","174081682","174082018","e","ENSG00000138430","2","-","174072447","174248698","-0.8092603"," 8.903667"," -2.782431","6.008468e-03","1.387140e-02"
"uc.190+"," 41555703"," 41555901","n","ENSG00000137166","6","+"," 41546426"," 41602384","-0.8173009","10.863735"," -2.579828","1.062748e-02","2.391099e-02"
"uc.77+","144428199","144428493","e","ENSG00000169554","2","-","144364364","144524583","-0.7879956"," 8.930199"," -2.566132","1.100018e-02","2.407535e-02"
"uc.208+"," 23522052"," 23522268","e","ENSG00000164548","7","-"," 23504780"," 23532041","-0.8804966"," 9.148591"," -2.503362","1.314862e-02","2.794082e-02"
"uc.173-","134390470","134390744","e","ENSG00000119048","5","+","134371179","134391992","-0.6996505"," 9.422628"," -2.459644","1.450995e-02","2.981714e-02"
"uc.66-"," 72947875"," 72948120","n","ENSG00000144040","2","-"," 72942036"," 73075619","-0.7582183"," 9.060734"," -2.375785","1.820552e-02","3.583613e-02"
"uc.442+"," 74880757"," 74881004","n","ENSG00000215421","18","+"," 74597870"," 75065671","-0.5229110","11.451378"," -2.323882","2.013479e-02","3.922089e-02"
"uc.109+","176638611","176638833","n","ENSG00000224577","2","+","176637710","176655958","-0.5966633"," 8.569364"," -2.249606","2.463788e-02","4.607284e-02"
